2FA Code is required,Le code 2FA est requis,
2FA is not enabled for this user,La 2FA n'est pas activée pour cet utilisateur,
5m average RAM,RAM moyenne 5m,
6h average RAM,RAM moyenne 6h,
6h max RAM,RAM max 6h,
A bench exists with the same name,Un bench avec le même nom existe déjà,
A certificate request already exists for this team member and course.,Une demande de certificat existe déjà pour ce membre d'équipe et ce cours.,
A deploy for this bench is already in progress,Un deploy pour ce bench est déjà en cours,
A marketplace app already exists with the given versions!,Une application Marketplace existe déjà avec les versions indiquées !,
A previous release is already awaiting approval!,Une version précédente est déjà en attente d'approbation !,
"A resource with the same team, user, document type, and document name already exists.","Une ressource avec la même équipe, utilisateur, type de document et nom de document existe déjà.",
A valid certificate already exists.,Un certificat valide existe déjà.,
API token does not have read access to the Hetzner Cloud.,Le jeton API n'a pas accès en lecture au Hetzner Cloud.,
API token is invalid or does not have the correct permissions.,Le jeton API est invalide ou ne dispose pas des permissions correctes.,
Access expiry must be in the future,La date d'expiration d'accès doit être dans le futur,
Access not allowed for this URL,Accès non autorisé pour cette URL,
Account does not exist,Le compte n'existe pas,
Account {0} has been deactivated,Le compte {0} a été désactivé,
Account {0} is already registered,Le compte {0} est déjà enregistré,
Action only allowed for public servers,Action autorisée uniquement pour les serveurs publics,
Actual Amount,Montant réel,
Actual Currency,Devise réelle,
Adding Server to Database Server Doctype failed,L'ajout du serveur au Doctype Serveur de base de données a échoué,
Agent,Agent,
All memory limits are required. Please set the memory limits for the bench.,Toutes les limites de mémoire sont requises. Veuillez définir les limites de mémoire pour le bench.,
Allocated RAM (based on current workers),RAM allouée (basée sur les workers actuels),
Already Unsubscribed,Déjà désabonné,
Amount cannot be 0,Le montant ne peut pas être 0,
Amount should be at least {0}{1},Le montant doit être d'au moins {0}{1},
Amount should be greater than zero,Le montant doit être supérieur à zéro,
Amount should not be less than invoice amount of {0}{1},Le montant ne doit pas être inférieur au montant de la facture de {0}{1},
An active Payment due extension record already exists for this team,Un enregistrement actif d'extension d'échéance de paiement existe déjà pour cette équipe,
An active UPI Autopay mandate already exists. Please cancel it before creating a new one.,Un mandat UPI Autopay actif existe déjà. Veuillez l'annuler avant d'en créer un nouveau.,
An active request for this app release already exists!,Une demande active pour cette version d'application existe déjà !,
An update is already pending for this site,Une mise à jour est déjà en attente pour ce site,
Another Binlog Indexing related operation is already in progress.,Une autre opération liée à l'indexation Binlog est déjà en cours.,
"App {app.app} is already on installed on the bench. Cannot add the same app twice","L'application {app.app} est déjà installée sur le bench. Impossible d'ajouter la même application deux fois",
At least one event should be selected,Au moins un événement doit être sélectionné,
At least one firewall rule is required,Au moins une règle de pare-feu est requise,
"At minimum, you need to restart web workers during update","Au minimum, vous devez redémarrer les workers web pendant la mise à jour",
Attached text is a not valid public key,Le texte joint n'est pas une clé publique valide,
Audit date must be in the future. Please choose a date later than today's date.,La date d'audit doit être dans le futur. Veuillez choisir une date postérieure à aujourd'hui.,
Audit does not belong to this app,L'audit n'appartient pas à cette application,
Auto scale is already running,L'auto scale est déjà en cours d'exécution,
Automated audit is disabled for this Marketplace App,L'audit automatisé est désactivé pour cette application Marketplace,
Bench,Bench,
Bench can only be deployed by the bench owner,Le bench ne peut être déployé que par son propriétaire,
Bench is already archived,Le bench est déjà archivé,
Benches are currently running on the secondary server!,Des benches sont actuellement en cours d'exécution sur le serveur secondaire !,
Binlog Indexing is not enabled for this server.,L'indexation Binlog n'est pas activée pour ce serveur.,
Binlog indexing service is not enabled or in maintenance. Please try again later,Le service d'indexation Binlog n'est pas activé ou est en maintenance. Veuillez réessayer plus tard,
Binlog retention days cannot be less than 1,Les jours de rétention Binlog ne peuvent pas être inférieurs à 1,
Binlog retention days must be a positive integer,Les jours de rétention Binlog doivent être un entier positif,
Binlog search is limited to 6 hours. Please select a smaller time range.,La recherche Binlog est limitée à 6 heures. Veuillez sélectionner une plage horaire plus courte.,
Build token is required to access asset store credentials,Le jeton de build est requis pour accéder aux identifiants du magasin d'assets,
CPU Utilization(%),Utilisation CPU (%),
Cannot change country after registration,Impossible de changer de pays après l'inscription,
Cannot change country of billing address,Impossible de changer le pays de l'adresse de facturation,
Cannot change validity period of a processed request.,Impossible de modifier la période de validité d'une demande traitée.,
Cannot create transaction as no unallocated amount found,Impossible de créer la transaction car aucun montant non alloué n'a été trouvé,
Cannot deactivate site on a Frappe plan,Impossible de désactiver un site sur un forfait Frappe,
Cannot delete default site_domain,Impossible de supprimer le site_domain par défaut,
Cannot delete digitalocean root disk.,Impossible de supprimer le disque racine DigitalOcean.,
Cannot delete hetzner root disk.,Impossible de supprimer le disque racine Hetzner.,
Cannot detach hetzner root disk.,Impossible de détacher le disque racine Hetzner.,
Cannot downgrade plan within 48 hours,Impossible de rétrograder le forfait dans les 48 heures,
Cannot enable binlog auto purge for replication configured servers,Impossible d'activer la purge automatique des binlogs pour les serveurs configurés en réplication,
Cannot fetch more than 100 rows at a time from binlog.,Impossible de récupérer plus de 100 lignes à la fois depuis le binlog.,
Cannot force fail a workflow that has already completed.,Impossible de forcer l'échec d'un workflow déjà terminé.,
Cannot increase disk size for Digital Ocean root disk.,Impossible d'augmenter la taille du disque racine Digital Ocean.,
Cannot increase disk size for hetzner root disk.,Impossible d'augmenter la taille du disque racine Hetzner.,
Cannot increase storage as spending limit has been exceeded.,Impossible d'augmenter le stockage car la limite de dépenses a été dépassée.,
Cannot leave this team as you are the owner.,Impossible de quitter cette équipe car vous en êtes le propriétaire.,
"Cannot publish: Audit {name} failed. Please investigate and rerun the audit.","Impossible de publier : l'audit {name} a échoué. Veuillez investiguer et relancer l'audit.",
Cannot publish: No sources configured,Impossible de publier : aucune source configurée,
Cannot refund payment because Stripe Charge not found for this invoice,Impossible de rembourser le paiement car le Stripe Charge est introuvable pour cette facture,
Cannot run flow without linked_doctype and linked_docname,Impossible d'exécuter le flux sans linked_doctype et linked_docname,
Cannot update binlog size limit for database replicas,Impossible de mettre à jour la limite de taille des binlogs pour les réplicas de base de données,
Cannot wait for completion on async kind of step,Impossible d'attendre la fin d'une étape asynchrone,
Child team has Active Sites,L'équipe enfant a des sites actifs,
Child team name cannot be same as parent team,Le nom de l'équipe enfant ne peut pas être identique à celui de l'équipe parente,
Cleanup job is already running,La tâche de nettoyage est déjà en cours,
Cleanup steps are not completed. Please clean up before retrying.,Les étapes de nettoyage ne sont pas terminées. Veuillez nettoyer avant de réessayer.,
Cluster is not active,Le cluster n'est pas actif,
Command,Commande,
Commit,Commit,
Commit hash looks in valid. Please recheck,Le hash du commit semble invalide. Veuillez revérifier,
Components,Composants,
Config can not be update for the hub registry,La configuration ne peut pas être mise à jour pour le registre hub,
Could not fetch pyproject.toml file.,Impossible de récupérer le fichier pyproject.toml.,
Could not find suitable Destination Bench,Impossible de trouver un bench de destination approprié,
Could not guess the key type. Please check your public key.,Impossible de déterminer le type de clé. Veuillez vérifier votre clé publique.,
Count,Nombre,
Country filed should be a valid country name,Le champ pays doit être un nom de pays valide,
Country is required,Le pays est requis,
Currency,Devise,
Data Disk Snapshot Volume ID is not set.,L'ID du volume de snapshot du disque de données n'est pas défini.,
Database,Base de données,
Database Access is already being enabled on this site. Please check after a while.,L'accès à la base de données est déjà en cours d'activation sur ce site. Veuillez vérifier après un moment.,
Database name is missing in the site,Le nom de la base de données est manquant dans le site,
Day of the month must be between 1 and 31 (included)!,Le jour du mois doit être compris entre 1 et 31 (inclus) !,
Default Cluster not found,Cluster par défaut introuvable,
Default Value is required,La valeur par défaut est requise,
Deploy,Deploy,
Deployments on this server are currently halted!,Les déploiements sur ce serveur sont actuellement interrompus !,
Destination Release must be different from Source Release,La version de destination doit être différente de la version source,
Destination bench does not exist,Le bench de destination n'existe pas,
"Device and Filesystem mount point don't match. Can't shrink","Le point de montage du périphérique et du système de fichiers ne correspondent pas. Impossible de réduire",
Disk Snapshot is not available in site backup,Le snapshot disque n'est pas disponible dans la sauvegarde du site,
Disk Snapshot is not available in the same region as the cluster.,Le snapshot disque n'est pas disponible dans la même région que le cluster.,
Document type must be one of {0},Le type de document doit être l'un des suivants : {0},
Document {0} is not associated with team {1},Le document {0} n'est pas associé à l'équipe {1},
"Domain, cluster and group are mandatory to create a site.","Le domaine, le cluster et le groupe sont obligatoires pour créer un site.",
Domains,Domaines,
Duplicate Team Members: {0},Membres d'équipe en double : {0},
Duration,Durée,
ERPNext.com URL not set up in Press Settings,L'URL ERPNext.com n'est pas configurée dans les paramètres Press,
Each app must have a release and hash to run deploy and update!,Chaque application doit avoir une version et un hash pour exécuter le deploy et la mise à jour !,
Email Recipients List can not be empty,La liste des destinataires ne peut pas être vide,
Enabled alert rules require an expression,Les règles d'alerte activées nécessitent une expression,
Endpoint address should be a public ip or domain,L'adresse du endpoint doit être une IP publique ou un domaine,
